"PRODUCT","DRAW NUMBER","DRAW DATE","NUMBER DRAWN 1","NUMBER DRAWN 2","NUMBER DRAWN 3","NUMBER DRAWN 4"
"DGRD",1,"2016-10-20",10,27,51,83
"DGRD",2,"2016-10-24",3,15,72,77
"DGRD",3,"2016-10-27",6,12,39,69
"DGRD",4,"2016-10-31",18,33,37,58
"DGRD",5,"2016-11-03",45,67,77,91
"DGRD",6,"2016-11-07",13,21,87,91
"DGRD",7,"2016-11-10",25,34,45,63
"DGRD",8,"2016-11-14",1,7,73,94
"DGRD",9,"2016-11-17",17,30,61,77
"DGRD",10,"2016-11-21",6,27,70,86
"DGRD",11,"2016-11-24",31,42,49,98
"DGRD",12,"2016-11-28",4,75,87,92
"DGRD",13,"2016-12-01",10,50,68,96
"DGRD",14,"2016-12-05",7,28,32,99
"DGRD",15,"2016-12-08",16,28,58,71
"DGRD",16,"2016-12-12",4,8,49,56
"DGRD",17,"2016-12-15",1,8,9,78
"DGRD",18,"2016-12-19",9,27,48,60
"DGRD",19,"2016-12-22",2,18,31,88
"DGRD",20,"2016-12-26",2,40,80,88
"DGRD",21,"2016-12-29",32,37,43,97
"DGRD",22,"2017-01-02",3,42,44,90
"DGRD",23,"2017-01-05",22,30,63,78
"DGRD",24,"2017-01-09",31,61,82,96
"DGRD",25,"2017-01-12",28,34,61,83
"DGRD",26,"2017-01-16",47,52,77,91
"DGRD",27,"2017-01-19",5,14,15,39
"DGRD",28,"2017-01-23",22,54,61,92
"DGRD",29,"2017-01-26",16,50,55,91
"DGRD",30,"2017-01-30",10,28,45,67
"DGRD",31,"2017-02-02",41,46,66,86
"DGRD",32,"2017-02-06",4,6,13,42
"DGRD",33,"2017-02-09",45,51,56,71
"DGRD",34,"2017-02-13",1,9,28,76
"DGRD",35,"2017-02-16",4,6,61,84
"DGRD",36,"2017-02-20",3,14,18,61
"DGRD",37,"2017-02-23",28,40,53,94
"DGRD",38,"2017-02-27",22,24,92,99
"DGRD",39,"2017-03-02",11,22,33,95
"DGRD",40,"2017-03-06",4,45,74,96
"DGRD",41,"2017-03-09",3,8,44,69
"DGRD",42,"2017-03-13",57,76,85,89
"DGRD",43,"2017-03-16",3,5,30,78
"DGRD",44,"2017-03-20",10,31,32,43
"DGRD",45,"2017-03-23",4,38,61,81
"DGRD",46,"2017-03-27",4,23,57,98
"DGRD",47,"2017-03-30",10,50,93,94
"DGRD",48,"2017-04-03",22,29,43,92
"DGRD",49,"2017-04-06",3,8,14,74
"DGRD",50,"2017-04-10",3,16,43,51
"DGRD",51,"2017-04-13",11,40,74,91
"DGRD",52,"2017-04-17",23,43,66,82
"DGRD",53,"2017-04-20",2,7,9,74
"DGRD",54,"2017-04-24",30,47,91,98
"DGRD",55,"2017-04-27",4,38,40,51
"DGRD",56,"2017-05-01",25,30,46,80
"DGRD",57,"2017-05-04",20,24,63,75
"DGRD",58,"2017-05-08",24,47,77,92
"DGRD",59,"2017-05-11",10,27,45,92
"DGRD",60,"2017-05-15",19,20,28,35
"DGRD",61,"2017-05-18",47,70,93,97
"DGRD",62,"2017-05-22",69,81,87,95
"DGRD",63,"2017-05-25",19,60,81,84
"DGRD",64,"2017-05-29",5,32,40,58
"DGRD",65,"2017-06-01",10,18,24,66
"DGRD",66,"2017-06-05",11,32,37,41
"DGRD",67,"2017-06-08",16,68,77,84
"DGRD",68,"2017-06-12",10,20,76,92
"DGRD",69,"2017-06-15",9,26,71,73
"DGRD",70,"2017-06-19",8,50,59,80
"DGRD",71,"2017-06-22",10,16,59,80
"DGRD",72,"2017-06-26",8,25,30,85
"DGRD",73,"2017-06-29",4,16,17,49
"DGRD",74,"2017-07-03",2,22,30,90
"DGRD",75,"2017-07-06",13,64,76,81
"DGRD",76,"2017-07-10",1,26,28,76
"DGRD",77,"2017-07-13",21,77,90,99
"DGRD",78,"2017-07-17",51,53,69,84
"DGRD",79,"2017-07-20",4,64,73,77
"DGRD",80,"2017-07-24",3,12,13,56
"DGRD",81,"2017-07-27",9,41,83,97
"DGRD",82,"2017-07-31",17,20,48,52
"DGRD",83,"2017-08-03",36,51,56,84
