PRODUCT,DRAW NUMBER,DRAW DATE,NUMBER DRAWN
649,3095,9/18/2013,4                             0                             7                             2                             3                             9                             4                             3                             -0                             2                             
649,3096,9/21/2013,4                             1                             8                             2                             4                             3                             2                             6                             -0                             1                             
649,3097,9/25/2013,4                             3                             1                             2                             7                             8                             8                             6                             -0                             2                             
649,3098,9/28/2013,6                             7                             7                             8                             2                             7                             4                             9                             -0                             1                             
649,3099,10/2/2013,4                             5                             9                             5                             4                             0                             9                             9                             -0                             1                             
649,3100,10/5/2013,7                             1                             8                             9                             5                             7                             6                             1                             -0                             1                             
649,3101,10/9/2013,5                             0                             5                             9                             5                             1                             7                             2                             -0                             1                             
649,3102,10/12/2013,5                             2                             6                             5                             7                             0                             4                             5                             -0                             2                             
649,3103,10/16/2013,6                             6                             5                             0                             2                             9                             1                             9                             -0                             1                             
649,3104,10/19/2013,8                             2                             9                             2                             6                             7                             4                             3                             -0                             1                             
649,3105,10/23/2013,6                             8                             5                             9                             8                             4                             8                             3                             -0                             1                             
649,3106,10/26/2013,7                             2                             5                             3                             1                             5                             4                             9                             -0                             1                             
649,3107,10/30/2013,4                             0                             2                             5                             6                             5                             7                             0                             -0                             1                             
649,3108,11/2/2013,4                             1                             0                             8                             1                             3                             9                             6                             -0                             1                             
649,3109,11/6/2013,4                             2                             8                             6                             3                             2                             8                             7                             -0                             1                             
649,3110,11/9/2013,0                             6                             6                             7                             5                             0                             5                             9                             -0                             1                             
649,3111,11/13/2013,8                             4                             9                             2                             2                             8                             1                             3                             -0                             1                             
649,3112,11/16/2013,4                             7                             1                             5                             1                             3                             6                             2                             -0                             1                             
649,3113,11/20/2013,4                             8                             5                             2                             6                             4                             5                             4                             -0                             1                             
649,3114,11/23/2013,6                             1                             6                             2                             0                             2                             8                             0                             -0                             1                             
649,3115,11/27/2013,8                             5                             5                             8                             9                             4                             9                             6                             -0                             1                             
649,3116,11/30/2013,5                             2                             3                             0                             7                             3                             6                             0                             -0                             1                             
649,3117,12/4/2013,0                             9                             1                             0                             0                             3                             8                             2                             -0                             1                             
649,3118,12/7/2013,3                             3                             5                             4                             7                             3                             4                             5                             -0                             1                             
649,3119,12/11/2013,6                             9                             7                             6                             6                             8                             0                             5                             -0                             1                             
649,3120,12/14/2013,5                             6                             9                             9                             3                             1                             0                             9                             -0                             3                             
649,3121,12/18/2013,3                             4                             8                             6                             0                             7                             3                             8                             -0                             3                             
649,3122,12/21/2013,5                             9                             4                             4                             3                             1                             9                             1                             -0                             2                             
649,3123,12/25/2013,3                             6                             1                             5                             8                             5                             0                             2                             -0                             1                             
649,3123,12/25/2013,1                             1                             4                             7                             2                             2                             2                             9                             -0                             1                             
649,3123,12/25/2013,3                             5                             7                             9                             0                             6                             1                             2                             -0                             1                             
649,3123,12/25/2013,1                             1                             3                             1                             3                             7                             5                             2                             -0                             1                             
649,3123,12/25/2013,8                             8                             1                             4                             2                             1                             8                             0                             -0                             4                             
649,3124,12/28/2013,6                             2                             3                             8                             3                             8                             4                             8                             -0                             2                             
649,3125,1/1/2014,4                             4                             4                             6                             0                             4                             4                             6                             -0                             1                             
649,3126,1/4/2014,3                             7                             5                             3                             9                             7                             0                             8                             -0                             1                             
649,3127,1/8/2014,4                             6                             1                             6                             5                             4                             1                             2                             -0                             1                             
649,3128,1/11/2014,6                             9                             3                             9                             3                             3                             6                             2                             -0                             2                             
649,3129,1/15/2014,4                             8                             7                             7                             0                             2                             8                             7                             -0                             1                             
649,3130,1/18/2014,4                             9                             9                             3                             7                             3                             7                             3                             -0                             4                             
649,3131,1/22/2014,5                             0                             9                             4                             4                             0                             0                             0                             -0                             2                             
649,3132,1/25/2014,7                             0                             7                             3                             5                             4                             9                             2                             -0                             1                             
649,3133,1/29/2014,1                             4                             9                             2                             2                             0                             5                             1                             -0                             1                             
649,3134,2/1/2014,5                             4                             0                             2                             6                             7                             1                             3                             -0                             1                             
649,3135,2/5/2014,5                             6                             0                             7                             9                             4                             4                             6                             -0                             1                             
649,3136,2/8/2014,6                             5                             2                             2                             7                             2                             6                             6                             -0                             2                             
649,3137,2/12/2014,5                             8                             0                             9                             8                             4                             0                             7                             -0                             2                             
649,3138,2/15/2014,6                             3                             5                             1                             9                             1                             3                             6                             -0                             1                             
649,3139,2/19/2014,4                             0                             0                             7                             3                             9                             7                             5                             -0                             2                             
649,3140,2/22/2014,1                             7                             4                             4                             5                             9                             2                             5                             -0                             2                             
649,3141,2/26/2014,2                             4                             4                             7                             8                             7                             6                             5                             -0                             3                             
649,3142,3/1/2014,4                             3                             4                             1                             9                             4                             3                             7                             -0                             2                             
649,3143,3/5/2014,4                             4                             7                             6                             6                             9                             8                             2                             -0                             1                             
649,3143,3/5/2014,4                             5                             3                             1                             8                             1                             9                             9                             -0                             1                             
649,3143,3/5/2014,4                             9                             2                             5                             3                             9                             8                             8                             -0                             1                             
649,3143,3/5/2014,6                             1                             9                             8                             9                             9                             9                             2                             -0                             1                             
649,3143,3/5/2014,6                             6                             4                             8                             9                             0                             5                             2                             -0                             2                             
649,3144,3/8/2014,1                             8                             8                             0                             1                             8                             2                             6                             -0                             4                             
649,3144,3/8/2014,1                             8                             8                             9                             1                             2                             9                             0                             -0                             1                             
649,3144,3/8/2014,1                             8                             9                             5                             3                             1                             9                             5                             -0                             2                             
649,3144,3/8/2014,6                             6                             6                             7                             4                             2                             3                             5                             -0                             3                             
649,3144,3/8/2014,9                             3                             4                             1                             7                             9                             5                             8                             -0                             2                             
649,3145,3/12/2014,4                             7                             5                             8                             0                             5                             6                             4                             -0                             1                             
649,3146,3/15/2014,4                             9                             1                             7                             2                             1                             8                             8                             -0                             2                             
649,3147,3/19/2014,5                             0                             2                             7                             7                             1                             1                             9                             -0                             1                             
