"PRODUCT","DRAW NUMBER","DRAW DATE","NUMBER DRAWN 1","NUMBER DRAWN 2","NUMBER DRAWN 3","NUMBER DRAWN 4"
"EXTRA",479,"1988-08-24",7,47,83,92
"EXTRA",480,"1988-08-27",19,21,48,62
"EXTRA",481,"1988-08-31",16,70,73,75
"EXTRA",482,"1988-09-03",24,49,80,97
"EXTRA",483,"1988-09-07",32,52,61,86
"EXTRA",484,"1988-09-10",7,14,85,90
"EXTRA",485,"1988-09-14",13,65,74,90
"EXTRA",486,"1988-09-17",4,37,44,77
"EXTRA",487,"1988-09-21",8,34,44,88
"EXTRA",488,"1988-09-24",61,66,68,77
"EXTRA",489,"1988-09-28",3,38,48,63
"EXTRA",490,"1988-10-01",25,27,35,80
"EXTRA",491,"1988-10-05",21,37,46,86
"EXTRA",492,"1988-10-08",2,24,92,98
"EXTRA",493,"1988-10-12",38,50,85,95
"EXTRA",494,"1988-10-15",24,50,89,98
"EXTRA",495,"1988-10-19",13,66,77,81
"EXTRA",496,"1988-10-22",41,59,60,77
"EXTRA",497,"1988-10-26",38,49,89,90
"EXTRA",498,"1988-10-29",2,32,43,68
"EXTRA",499,"1988-11-02",2,13,25,35
"EXTRA",500,"1988-11-05",23,54,61,89
"EXTRA",501,"1988-11-09",16,20,67,71
"EXTRA",502,"1988-11-12",15,43,53,65
"EXTRA",503,"1988-11-16",31,55,64,88
"EXTRA",504,"1988-11-19",36,62,66,79
"EXTRA",505,"1988-11-23",16,28,59,77
"EXTRA",506,"1988-11-26",8,21,22,61
"EXTRA",507,"1988-11-30",6,8,34,36
"EXTRA",508,"1988-12-03",26,29,54,84
"EXTRA",509,"1988-12-07",18,22,83,95
"EXTRA",510,"1988-12-10",21,29,57,61
"EXTRA",511,"1988-12-14",27,39,42,84
"EXTRA",512,"1988-12-17",37,39,41,81
"EXTRA",513,"1988-12-21",34,56,61,79
"EXTRA",514,"1988-12-24",21,59,78,89
"EXTRA",515,"1988-12-28",23,32,44,80
"EXTRA",516,"1988-12-31",56,57,80,83
"EXTRA",517,"1989-01-04",2,5,63,91
"EXTRA",518,"1989-01-07",20,70,74,76
"EXTRA",519,"1989-01-11",61,81,94,99
"EXTRA",520,"1989-01-14",9,66,71,80
"EXTRA",521,"1989-01-18",47,67,78,91
"EXTRA",522,"1989-01-21",2,44,50,68
"EXTRA",523,"1989-01-25",2,23,68,72
"EXTRA",524,"1989-01-28",2,31,62,70
"EXTRA",525,"1989-02-01",10,21,25,46
"EXTRA",526,"1989-02-04",1,64,71,74
"EXTRA",527,"1989-02-08",8,19,73,77
"EXTRA",528,"1989-02-11",15,37,47,68
"EXTRA",529,"1989-02-15",3,19,26,63
"EXTRA",530,"1989-02-18",1,35,49,71
"EXTRA",531,"1989-02-22",30,35,65,75
"EXTRA",532,"1989-02-25",2,28,53,79
"EXTRA",533,"1989-03-01",20,29,72,88
"EXTRA",534,"1989-03-04",20,21,37,86
"EXTRA",535,"1989-03-08",18,41,83,87
"EXTRA",536,"1989-03-11",16,53,78,79
"EXTRA",537,"1989-03-15",37,54,73,88
"EXTRA",538,"1989-03-18",23,27,31,62
"EXTRA",539,"1989-03-22",15,21,37,40
"EXTRA",540,"1989-03-25",12,38,61,69
"EXTRA",541,"1989-03-29",65,88,90,99
"EXTRA",542,"1989-04-01",42,83,90,92
"EXTRA",543,"1989-04-05",25,37,46,60
"EXTRA",544,"1989-04-08",15,45,67,87
"EXTRA",545,"1989-04-12",7,15,52,56
"EXTRA",546,"1989-04-15",46,49,57,94
"EXTRA",547,"1989-04-19",4,10,30,95
"EXTRA",548,"1989-04-22",70,77,93,99
"EXTRA",549,"1989-04-26",9,59,72,81
"EXTRA",550,"1989-04-29",1,2,64,80
"EXTRA",551,"1989-05-03",5,49,52,68
"EXTRA",552,"1989-05-06",29,30,43,91
"EXTRA",553,"1989-05-10",13,27,73,95
"EXTRA",554,"1989-05-13",17,25,26,82
"EXTRA",555,"1989-05-17",33,57,61,96
"EXTRA",556,"1989-05-20",6,73,77,99
"EXTRA",557,"1989-05-24",53,65,86,94
"EXTRA",558,"1989-05-27",11,29,48,61
"EXTRA",559,"1989-05-31",54,57,69,99
"EXTRA",560,"1989-06-03",11,16,25,55
"EXTRA",561,"1989-06-07",49,58,73,96
"EXTRA",562,"1989-06-10",12,31,36,39
"EXTRA",563,"1989-06-14",2,24,61,68
"EXTRA",564,"1989-06-17",17,57,59,79
"EXTRA",565,"1989-06-21",6,40,61,87
"EXTRA",566,"1989-06-24",16,19,32,52
"EXTRA",567,"1989-06-28",27,41,43,82
"EXTRA",568,"1989-07-01",17,79,93,95
"EXTRA",569,"1989-07-05",47,51,89,90
"EXTRA",570,"1989-07-08",11,22,49,67
"EXTRA",571,"1989-07-12",70,76,84,96
"EXTRA",572,"1989-07-15",2,4,28,89
