PRODUCT,DRAW NUMBER,DRAW DATE,NUMBER DRAWN 1,NUMBER DRAWN 2,NUMBER DRAWN 3,NUMBER DRAWN 4
LOTTO MAX EXTRA,1,9/25/2009,6,14,51,90
LOTTO MAX EXTRA,2,10/2/2009,16,36,52,99
LOTTO MAX EXTRA,3,10/9/2009,2,3,13,80
LOTTO MAX EXTRA,4,10/16/2009,8,10,15,41
LOTTO MAX EXTRA,5,10/23/2009,9,53,79,93
LOTTO MAX EXTRA,6,10/30/2009,2,11,90,94
LOTTO MAX EXTRA,7,11/6/2009,9,23,79,82
LOTTO MAX EXTRA,8,11/13/2009,17,47,64,96
LOTTO MAX EXTRA,9,11/20/2009,16,18,71,74
LOTTO MAX EXTRA,10,11/27/2009,43,69,77,93
LOTTO MAX EXTRA,11,12/4/2009,37,60,65,83
LOTTO MAX EXTRA,12,12/11/2009,7,44,54,78
LOTTO MAX EXTRA,13,12/18/2009,25,55,85,95
LOTTO MAX EXTRA,14,12/25/2009,11,19,57,58
LOTTO MAX EXTRA,15,1/1/2010,53,61,86,89
LOTTO MAX EXTRA,16,1/8/2010,11,36,58,74
LOTTO MAX EXTRA,17,1/15/2010,16,40,41,87
LOTTO MAX EXTRA,18,1/22/2010,21,48,63,93
LOTTO MAX EXTRA,19,1/29/2010,11,40,45,77
LOTTO MAX EXTRA,20,2/5/2010,6,52,80,94
LOTTO MAX EXTRA,21,2/12/2010,72,74,82,92
LOTTO MAX EXTRA,22,2/19/2010,63,65,73,77
LOTTO MAX EXTRA,23,2/26/2010,31,39,42,46
LOTTO MAX EXTRA,24,3/5/2010,17,23,26,37
LOTTO MAX EXTRA,25,3/12/2010,14,24,82,97
LOTTO MAX EXTRA,26,3/19/2010,2,24,65,73
LOTTO MAX EXTRA,27,3/26/2010,1,9,40,68
LOTTO MAX EXTRA,28,4/2/2010,38,74,84,85
LOTTO MAX EXTRA,29,4/9/2010,30,50,55,76
